Type	String	Frequency	OMOP_ID	OMOP_Name
Condition	motor neurone disease	1	374631	Motor neuron disease
Condition	move	1	4238636	Movement observable
Condition	movement disorder	1	372604	Movement disorder
Condition	msi ( mmr )	1	21498576	MSI-L
Condition	mucosal gastrointestinal	1	437915	Gastrointestinal mucositis
Condition	multi organ dysfunction	1	443207	Single organ dysfunction
Condition	multi-focal pneumonia	1	4046011	Focal pneumonia
Condition	multi-organ / system failure	1	4212484	Multiple organ failure
Condition	multi-organ failure-mof	1	35804804	MOF
Condition	multi-organ system failure	1	4212484	Multiple organ failure
Condition	multi-system organ dysfunction	1	45757803	Systemic inflammatory response syndrome without organ dysfunction
Condition	multifocal interstitial pneumonia	1	4273378	Interstitial pneumonia
Condition	multiorgan dysfunction	1	78771	Labyrinthine dysfunction
Condition	multiple allergies	1	4060077	H/O: multiple allergies
Condition	multiple comorbidities	1	46235351	Comorbid condition
Condition	multiple death dates in data	1	42528381	Confidence in date of death
Condition	multiple drug allergies	1	4060077	H/O: multiple allergies
Condition	multiple gated acquisition ( muga )	1	4223321	Multiple gated acquisition scanning
Condition	multiple metastases	1	35933956	"Metastases to multiple distant lymph node chains, NOS"
Condition	multiple pulmonary infiltrates	1	4249557	Radiologic infiltrate of lung
Condition	multiple sources of frequent ventricular premature beat	1	4066289	Ventricular premature beats
Condition	multiple symptoms	1	4243947	Multiple symptoms
Condition	multiple transfusions	1	4182536	Transfusion
Condition	multiple underlying diseases	1	4297823	Alopecia due to underlying disease
Condition	multisection for pulmonary embolus+deep vein thrombosis^w contrast iv:find:pt:chest>pulmonary arteries.bilat & pelvis>pelvis veins & lower extremity.bilat>lower extremity veins:doc:ct.angio	1	42529452	CTA Pulmonary arteries - bilateral and Pelvis veins and Lower extremity veins - bilateral for pulmonary embolus and deep vein thrombosis W contrast IV
Condition	multisystem organ failure	1	36676901	Acute infantile liver failure with multisystemic involvement syndrome
Condition	multisystem shock	1	45765764	Multisystemic therapy
Condition	murray classification	1	42071088	Murray
Condition	muscle mass	1	4038591	O/E - muscle mass
Condition	muscular malnutrition	1	4090739	Nutritional disorder
Condition	musculoskeletal disorder	1	4245116	Non-articular rheumatism
Condition	musculoskeletal pain	1	4150129	Musculoskeletal pain
Condition	musculoskeletal problem	1	4030914	Musculoskeletal alteration
Condition	musculoskeletal systems	1	37204304	Implantation procedure
Condition	muti-organ dysfunction syndrome	1	4080011	Organ dysfunction syndrome
Condition	myastenia gravis	1	76685	Myasthenia gravis
Condition	mycobacterium abscessus complex	1	4034776	Mycobacteroides abscessus
Condition	mycobacterium avium complex ( mac )	1	42573272	Mycobacterium avium complex culture
Condition	mycotic infection	1	4064362	Mycotic infection screening
Condition	myelitis	1	138965	Myelitis
Condition	myeloproliferative disorders	1	4175485	Myeloproliferative disorder
Condition	myesthenia gravis or other neuromuscular disorders	1	38012	Strabismus in neuromuscular disorder
Condition	myocardial biopsy	1	4308807	Myocardial biopsy
Condition	myocardial infarctions	1	4329847	Myocardial infarction
Condition	myocardial injury	1	4172865	Transient myocardial ischemia of newborn
Condition	myocardium infarction	1	36878746	myocardium
Condition	myofacial pain syndrome	1	443464	Central pain syndrome
Condition	myositis	1	73001	Myositis
Condition	myringotomies	1	4266016	Tympanotomy
Condition	n-carbamoylputrescine amidase activity	1	4035862	N-carbamoylputrescine amidase
Condition	n95 respirator	1	4088856	N95 amplitude
Condition	n95 respirator fit-test	1	4165094	Respirator fit testing
Condition	nac allergy	1	41949709	Malguénac
Condition	nancy	1	41952841	Nancy
Condition	narcotic substances	1	724082	NARCOTICS
Condition	nasal cannula ( mask	1	2614925	"Cannula, nasal"
Condition	nasal cannula/prongs	1	4134633	Nasal prongs
Condition	nasal cavity polyps	1	42537252	Polyp of nasal cavity
Condition	nasal chemosensory epithelium	1	4135211	Epithelium
Condition	nasal collections	1	4023211	Collection of nasal pharyngeal aspirate
Condition	nasal conditions	1	4118469	Condition
Condition	nasal high-flow	1	4139525	High flow oxygen nasal cannula
Condition	nasal masses	1	4577082	Mass of nasal sinus
Condition	nasal polyps	1	42537251	Polyp of nasal cavity and/or nasal sinus
Condition	nasal polyps syndrome	1	42537251	Polyp of nasal cavity and/or nasal sinus
Condition	nasal prongs	1	4134633	Nasal prongs
Condition	nasal prongs ≥ 4 l/min or high flow nasal cannula ( hfnc )	1	4139525	High flow oxygen nasal cannula
Condition	nasal septal deviations	1	4091347	Nasal deviation
Condition	nasal septum perforation	1	419664	Perforation of nasal septum
Condition	nasal sinus pathology	1	4051578	Nasal sinus structure
Condition	nasal steroid	1	4024511	Steroid
Condition	nasal swab )	1	42600142	Nasal swab
Condition	nasal swab confirmed sars-cov-2 infection	1	703439	Taking of swab for SARS-CoV-2
Condition	nasogastric tubes	1	4063122	Nasogastric tube
Condition	nasopharyngeal smear	1	4197268	Nasopharyngitis
Condition	nasopharyngeal swab positive for covid-19	1	4208169	Nasopharyngeal swab for virology received
Condition	national ews	1	3199775	EWS RNA binding protein 1 nucleotide sequence
Condition	national health	1	4330025	National Health Service benefits
Condition	national va data	1	4087925	Ethnicity / related nationality data
Condition	nci ctcae 5.0 criteria	1	45881397	NCI
Condition	ncov infection	1	37311059	Exposure to 2019 novel coronavirus
Condition	neck region	1	4120136	Entire neck
Condition	necrosis	1	4280654	Necrosis
Condition	needle-phobia	1	4332995	Needle phobia
Condition	needle-sickness	1	4192174	Illness
Condition	needs mechanical ventilation	1	19025274	oxygen
Condition	negative hiv	1	4013105	HIV negative
Condition	negative infection	1	4014116	Blood - infectious titer negative
Condition	negative oral/nasal swabs	1	4057316	Vaginal swab culture negative
Condition	negative results of human immunodeficiency virus ( hiv )	1	35934327	Negative Human Immunodeficiency Virus (HIV) status
Condition	neither solid nor hematologic tumors	1	1901144	everolimus
Condition	neo ) adjuvant systemic treatment	1	4161587	Neo-adjuvant - intent
Condition	neonates ages	1	4114528	Neonatal
Condition	neoplasia in active cancer treatment	1	40758216	Cancer treatments in last 14 days
Condition	neoplasms	1	438112	Neoplastic disease
Condition	neoplastic disease	1	438112	Neoplastic disease
Condition	neoplastic diseases	1	438112	Neoplastic disease
Condition	nepal	1	4330329	Nepal
Condition	nephritis	1	193253	Nephritis
Condition	"nephrolithiasis , sarcoidosis"	1	20162	Kidney stone
Condition	nephropathy	1	198124	Kidney disease
Condition	nerve root compression	1	4318677	Cervical nerve root compression
Condition	nervous system	1	724071	NERVOUS SYSTEM
Condition	"nervous system , respiratory system , blood and lymphatic system"	1	4208813	Infection of blood and lymphatic system
Condition	nervous system diseases	1	376337	Disorder of nervous system
Condition	nervous systems ( middle	1	724071	NERVOUS SYSTEM
Condition	neurally-mediated hypotension	1	4162976	Vasovagal syncope
Condition	neurasthenia	1	444243	Neurosis
Condition	neurocognitive disorders	1	46271045	Neurocognitive disorder
Condition	neurodegenerative diseases	1	45880366	Neurodegenerative disorders
Condition	neurodegenerative disorder	1	45880366	Neurodegenerative disorders
Condition	neurodegenerative or neuromuscular disease	1	4116861	Neuromyopathy
Condition	neurodevelopmental disorders	1	45771096	Neurodevelopmental disorder
Condition	neurodevelopmental dysfunction	1	45771096	Neurodevelopmental disorder
Condition	neuroendocrine tumour	1	4343	Neuroendocrine tumor
Condition	neurogenic hearing impairment	1	377889	Hearing loss
Condition	neurogenic hearing loss	1	377889	Hearing loss
Condition	neurologic/psychiatric disorders	1	36308213	Psychiatric disorder
Condition	"neurological , endocrine , cardiovascular , respiratory , haematological , immunological , psychiatric , gastrointestinal , renal , hepatic , and metabolic disease"	1	4135463	Cardiovascular renal disease
Condition	"neurological , musculoskeletal , haematological , hepatic , gastrointestinal , renal , pulmonary , endocrinological , metabolism or psychiatric disease"	1	4024556	Metabolic renal disease
Condition	"neurological , psychiatric"	1	4099455	Psychiatric
Condition	"neurological , psychiatric , endocrine"	1	4099455	Psychiatric
Condition	"neurological , psychiatric , endocrine or neoplastic diseases"	1	418221	Dementia
Condition	"neurological , renal , hepatic , endocrinological or gastrointestinal disorder"	1	4028934	Gynecological endocrinology disorder
Condition	neurological abnormality	1	4065251	Neurological diagnostic procedure - abnormal
Condition	neurological and cardiovascular disease	1	134057	Disorder of cardiovascular system
Condition	neurological and neurodevelopmental disorders	1	45771096	Neurodevelopmental disorder
Condition	neurological disorder	1	36308796	Neurological disorder
Condition	neurological failure	1	4192658	Neurology
Condition	neurological or cognitive disorders	1	42537139	Dissociative neurological symptom disorder co-occurrent with cognitive symptoms
Condition	neurological or neuropsychiatric disorder	1	36308796	Neurological disorder
Condition	neurological or psychiatric diseases	1	418221	Dementia
Condition	neurological or psychiatric impairment and	1	45876621	Neurological impairment
Condition	neurological or psychiatric pathology	1	4204852	Psychiatric sign or symptom
Condition	neurological pathology	1	4192658	Neurology
Condition	neurological problem	1	4192658	Neurology
Condition	neurological symptoms	1	4204047	Neurological symptom
Condition	neurology diseases	1	4169249	Bannwarth syndrome
Condition	neuromucular blockade	1	9219	percent blockade
Condition	neuromuscular	1	4069943	Neuromuscular scoliosis
Condition	neuromuscular disorder	1	377263	Myoneural disorder
Condition	neuromuscular pathology	1	4069943	Neuromuscular scoliosis
Condition	neuromuscular progressive previous diagnosed disease	1	36308442	Other progressive neuromuscular disease
Condition	neuropsychiatric diseases	1	43533342	No neuropsychiatric symptoms
Condition	neuropsychiatric illness	1	43533342	No neuropsychiatric symptoms
Condition	neuropsychiatric or vascular disorders	1	38186	Vascular abnormality of conjunctiva
Condition	neuropsychiatric pathologies	1	43533342	No neuropsychiatric symptoms
Condition	neurosurgical and maxillofacial surgery interventions conditioning neurological or sensorineural deficits	1	4130717	Neurological deficit
Condition	neutrophiles ≤ 1000 / µl	1	3630868	Neutrophils
Condition	never-pregnant	1	41953143	Nevers
Condition	new cancer	1	4325437	New
Condition	new coronavirus ( 2019 ncov ) pneumonia	1	37311064	2019-nCoV vaccination
Condition	new coronavirus infection ''	1	439676	Coronavirus infection
Condition	new coronavirus infection diagnosis ( acute respiratory infection symptoms	1	4112341	Acute respiratory infections
Condition	new delhi	1	42064759	Delhi
Condition	new hypoxemia	1	43739	Hypoxemia
Condition	new medical condition	1	763098	New medication therapy needed for condition
Condition	new supraventricular tachycardia	1	4275423	Supraventricular tachycardia
Condition	new york heart association ( nyha ) functional classification	1	4223299	New York Heart Association Classification
Condition	new york heart association ( nyha ) iii-iv ] )	1	4223299	New York Heart Association Classification
Condition	new york heart association ( nyha ) ≥ ii	1	4223299	New York Heart Association Classification
Condition	new york heart association )	1	4223299	New York Heart Association Classification
Condition	new york heart association cardiac disease	1	4223299	New York Heart Association Classification
Condition	new york heart association class ii	1	4226789	New York Heart Association Classification - Class II
Condition	new york heart association class iv )	1	4228881	New York Heart Association Classification - Class IV
Condition	new york heart association class iv congestive heart failure	1	4228881	New York Heart Association Classification - Class IV
Condition	new york heart association class iv heart failure	1	4228881	New York Heart Association Classification - Class IV
Condition	new york heart association class iv heart failure b. severe hepatic dysfunction c. severe renal dysfunction	1	4228881	New York Heart Association Classification - Class IV
Condition	new york heart association class iv status	1	4228881	New York Heart Association Classification - Class IV
Condition	new york heart association classification	1	4223299	New York Heart Association Classification
Condition	new york heart association classification ( nyha	1	4223299	New York Heart Association Classification
Condition	new york heart association functional class	1	1002237	New York Heart Association Functional Classification panel
Condition	"new york heart association grade iii or iv , pulmonary embolism"	1	4228881	New York Heart Association Classification - Class IV
Condition	new york heart association iii/iv )	1	4228881	New York Heart Association Classification - Class IV
Condition	new york heart classification iii or iv heart disease	1	4228881	New York Heart Association Classification - Class IV
Condition	new-onset organ failure	1	4119455	New onset angina
Condition	new-onset stroke	1	4119455	New onset angina
Condition	newborn icu admission diagnosis:finding:point in time:^patient:nominal	1	301018	Newborn ICU admission diagnosis
Condition	newly-appeared pulmonary parenchymal infiltrate	1	4249557	Radiologic infiltrate of lung
Condition	news covid-19 infection	1	756039	Respiratory infection due to COVID-19
Condition	nia-aa criteria	1	3172111	NIA-AA Alzheimer's disease neuropathologic change score in the structure of the brain
Condition	nih definition	1	4129644	Definitive
Condition	nijmegen breakage syndrome	1	4120785	"Microcephaly, normal intelligence and immunodeficiency"
Condition	nitrites	1	19069907	sodium nitrite
Condition	no pneumonia	1	37208091	No Streptococcus pneumoniae Isolated
Condition	no pregnancy restrictions	1	40768856	Are you currently pregnant [PhenX]
Condition	nodal	1	4135396	Nodality
Condition	nodules	1	4101098	Nodule
Condition	nodules )	1	4101098	Nodule
Condition	nodules or masses	1	4152342	Nodule in skin or mucosa
Condition	non - lactating	1	37062167	Lactate | Urine | Chemistry - non-challenge
Condition	non covid 19-related condition	1	37311061	Disease caused by 2019-nCoV
Condition	non covid-19 disorders	1	37311061	Disease caused by 2019-nCoV
Condition	non dentist	1	903277	Dentistry
Condition	non invasive mechanical ventilation	1	19025274	oxygen
Condition	non pulmonary medicine registered units	1	38004111	Registered Pulmonary Diagnostics Therapist
Condition	non sars-cov-2 viral infection	1	40218804	Testing for SARS-CoV-2 in non-CDC laboratory
Condition	non serious covid-19 infection	1	756039	Respiratory infection due to COVID-19
Condition	non test-based strategy	1	763461	Counseling strategy
Condition	non viral	1	4259632	Organism
Condition	non-active cancer	1	37208188	Non-metastatic prostate cancer
Condition	non-active patient	1	36309645	Patient active
Condition	non-adenocarcinoma tumors	1	37116308	Non-intestinal type adenocarcinoma
Condition	non-aggressive	1	4233854	Aggressive non-smoker
Condition	non-alcoholic fatty liver disease	1	4026131	Non-alcoholic fatty liver
Condition	non-alcoholic steatohepatitis	1	3562315	Alcoholic steatohepatitis
Condition	non-biological immunosuppressant	1	4135253	Non-biological
Condition	non-breast feeder )	1	37208367	Feeder cup feeding
Condition	non-cardiogenic bilateral pulmonary edema	1	4317285	Non-cardiogenic pulmonary edema
Condition	non-cf bronchiectasis	1	256449	Bronchiectasis
Condition	non-child-bearing	1	4119018	Non-weight-bearing
Condition	non-clinical data	1	3021308	ED clinical finding data source
Condition	non-cns malignancy	1	4119748	Non-surgical biopsy of nervous system
Condition	non-communicative	1	4146594	Non-communicating
Condition	non-compressible site	1	434656	Vertebral artery syndrome
Condition	non-confirmed sars-cov-2 infection	1	40218804	Testing for SARS-CoV-2 in non-CDC laboratory
Condition	non-covid condition	1	43530872	Non-allergic hypersensitivity condition
Condition	non-covid infection	1	756039	Respiratory infection due to COVID-19
Condition	non-covid septicemia	1	132797	Sepsis
Condition	non-covid-19	1	37311061	Disease caused by 2019-nCoV
Condition	non-covid-19 acute respiratory distress syndrome	1	756044	Acute respiratory distress syndrome (ARDS) due to COVID-19
Condition	non-covid-19 related clinical condition	1	703429	COVID-19 excluded using clinical diagnostic criteria
Condition	non-covid-19 related conditions	1	37311061	Disease caused by 2019-nCoV
Condition	non-covid-19 related disease	1	37311061	Disease caused by 2019-nCoV
Condition	non-covid-19 respiratory failure	1	756039	Respiratory infection due to COVID-19
Condition	non-cystic fibrosis bronchiectasis	1	4050875	Congenital cystic bronchiectasis
Condition	non-diabetes	1	45763914	Non-diabetic hyperglycemia
Condition	non-dod personnel	1	301	DoD other
Condition	non-elective intubation	1	42536218	Rigid non-bladed video intubation laryngoscope
Condition	non-emancipated minors	1	439691	Adolescent emancipation disorder
Condition	non-emergency fertility preservation	1	4191386	Fertility care
Condition	non-essential location	1	4077707	Location
Condition	non-experimental	1	4049795	Experimental implant
Condition	non-inclusion	1	4206777	Including
Condition	non-infectious course	1	4218568	Non-infectious pericarditis
Condition	non-injection	1	44120394	Non Pollen Injectable Solution
Condition	non-insulin-dependent diabetes	1	201826	Type 2 diabetes mellitus
Condition	non-invasive cpap	1	45877791	Non-invasive ventilation (CPAP)
Condition	non-invasive home ventilation	1	19025274	oxygen
Condition	non-invasive oxygen monitoring	1	415265	Invasive oxygen saturation monitoring
Condition	non-invasive positive-pressure ventilation	1	19025274	oxygen
Condition	non-lactating	1	37062167	Lactate | Urine | Chemistry - non-challenge
Condition	non-malignant disease	1	4216396	Non malignant mast cell disease
Condition	non-melanoma skin malignancies	1	3171629	Non-melanoma primary malignant neoplasm of skin
Condition	non-metastatic	1	37208188	Non-metastatic prostate cancer
Condition	non-metastatic prostate cancer	1	37208188	Non-metastatic prostate cancer
Condition	non-metastatic stage	1	37208188	Non-metastatic prostate cancer
Condition	non-oecd countries	1	4329169	Country
Condition	non-oncological related chronic immunosuppression	1	4285453	Immunosuppression-related infectious disease
Condition	non-opioid	1	46257635	"Analgesics, non-opioid"
Condition	non-opposition agree	1	45876719	Agree
Condition	non-opposition form	1	36309479	"Dextropropoxyphene, bulk (non-dosage forms)"
Condition	non-peripheral	1	4119416	Non-surgical biopsy of peripheral nerve
Condition	non-peripheral distribution	1	4119416	Non-surgical biopsy of peripheral nerve
Condition	non-pharmaceutical interventions	1	4075375	Non-verbal communication interventions
Condition	non-pharmacological cause	1	4206766	Pharmacologic
Condition	non-pregnancy	1	4129024	Non-viable pregnancy
Condition	non-pregnant females	1	4243056	Not pregnant
Condition	"non-pregnant patients , a psychiatric diagnosis"	1	763918	Patient transfer to non-psychiatric hospital
Condition	non-productive cough	1	4038519	Dry cough
Condition	non-professional aircrew	1	4147399	Aircrew
Condition	non-pulmonary pathology	1	256018	"Tuberculosis of lung, confirmed histologically"
Condition	non-pure nen	1	41973489	Bönen
Condition	non-rare diseases	1	4031164	Non-scarring alopecia
Condition	non-rebreather mask	1	45771595	Non-rebreathing oxygen face mask
Condition	non-rebreathing mask or high flow-nasal cannula ( hfnc )	1	4139525	High flow oxygen nasal cannula
Condition	non-rounded	1	36560905	"Malignant lymphoma, non-Hodgkin, NOS, of round ligament"
Condition	non-sars-cov2 infections	1	4208399	Non-infected
Condition	non-sensical	1	41887439	Nonning
Condition	non-septic shock	1	196236	Septic shock
Condition	non-severe disease	1	1177324	Severe disease
Condition	non-severe i.e. mild disease	1	1177314	Mild disease
Condition	non-severe pneumonia	1	4293463	Community acquired pneumonia
Condition	non-severe symptomatic	1	4345694	Symptomatic non-invasive amebic infection
Condition	non-signature	1	45627126	KIRKLAND SIGNATURE NON ASPIRIN EXTRA STRENGTH - acetaminophen tablet
Condition	non-significant liver fibrosis	1	37063426	Liver fibrosis interpretation | Serum | Chemistry - non-challenge
Condition	non-significant liver fibrosis metavir - f3	1	35919416	Ishak fibrosis score 0-4||No to moderate fibrosis|METAVIR score F0-F3|Batt-Ludwig score 0-3
Condition	non-smoker	1	4222303	Non-smoker
Condition	non-smokers	1	4222303	Non-smoker
Condition	non-smokers or social smokers	1	4222303	Non-smoker
Condition	non-sterile	1	4577201	"Humerus nail, non-sterile"
Condition	non-sterilized surgically and in postmenopause	1	38003155	Medical/Surgical Supplies and Devices - Non Sterile
Condition	non-stroke	1	381316	Cerebrovascular accident
Condition	non-structural heart failure	1	316139	Heart failure
Condition	non-suppressed viral load	1	4215562	Viral load
Condition	non-surgically sterilized	1	3711869	"Surgical sleeve cover, non-sterile"
Condition	non-sustained ventricular tachycardia	1	4139206	Sustained ventricular tachycardia
Condition	non-traumatic	1	4307302	Non-traumatic pneumopericardium
Condition	non-traumatic cause of cardiac arrest	1	321042	Cardiac arrest
Condition	non-tuberculosis mycobacterium	1	4034215	Mycobacterium tuberculosis
Condition	non-tuberculous mycobacterial ( ntm ) infections	1	4174281	Non-tuberculous mycobacterial pneumonia
Condition	non-va pharmacy	1	391	VA Non-Veteran Care
Condition	non-ventilated	1	19025274	oxygen
Condition	non-white ethnicity	1	8527	White
Condition	non-working	1	435843	Non-working interference functional occlusion
Condition	nonalcoholic steatohepatitis	1	40484532	Nonalcoholic steatohepatitis
Condition	nonchild-bearing potential	1	4027939	Ursidae
Condition	noncommunicable disease	1	4274025	Disease
Condition	nonmelanoma skin cancer	1	45883361	Skin Cancer
Condition	nonmelanotic skin cancer	1	45883361	Skin Cancer
Condition	nono gene	1	44364015	3CE TRIPLE SHADOW NO NONO - titanium dioxide powder
Condition	nonproductive cough	1	254761	Cough
Condition	normal fev1/fvc ratio	1	406541	FEV1/FVC ratio normal
Condition	normal healthy	1	2720502	A normal healthy patient
Condition	normal hearing	1	4037307	Hearing normal
Condition	normal liver function	1	4043075	Liver function tests normal
Condition	normal menopause	1	4034019	Normal menopause
Condition	normal qt interval	1	4216826	QT interval feature
Condition	normal renal function	1	4217308	Normal renal function
Condition	normal resting 12-lead ecg	1	4145308	12 lead ECG
Condition	nose bleeding	1	4096682	Bleeding from nose
Condition	nosebleed	1	4096682	Bleeding from nose
Condition	not tolerate	1	457714	Raloxifene not tolerated
Condition	noticeable sensory damage	1	142033	Injury of cutaneous sensory nerve of upper limb
Condition	novel coronavirus ( sars-cov-2 ) infection	1	37311061	Disease caused by 2019-nCoV
Condition	novel coronavirus disease	1	37311061	Disease caused by 2019-nCoV
Condition	novel coronavirus sars-cov-2019	1	37311064	2019-nCoV vaccination
Condition	novel coronaviruses	1	41953453	Novel
Condition	nucleic acid detection	1	4162526	Nucleic acid assay
Condition	nurse at hup	1	4236026	Home care by visiting nurse
Condition	nurvous system diseases	1	4206788	Systemic disease
Condition	nyha class iii/iv heart failure	1	319835	Congestive heart failure
Condition	nyha class iv heart disease	1	319835	Congestive heart failure
Condition	o2 dependency	1	36309413	O2/K2
Condition	obesity hypoventilation syndrome	1	4100857	Extreme obesity with alveolar hypoventilation
Condition	obstetrical disorders	1	439658	Disorder of pregnancy
Condition	obstructive artery disease	1	4249742	Obstruction of trachea
Condition	obstructive hepato-biliary disease	1	4220843	Extrahepatic obstructive biliary disease
Condition	obstructive lung disease	1	255573	Chronic obstructive lung disease
Condition	obstructive pneumonia	1	4093906	Obstruction
Condition	obstructive rhinitis	1	4165268	Obstructive rhinitis
Condition	obvious death	1	36310954	obvious death
Condition	occupational exposure - non-occupational	1	4008045	"Exposure to polluted water, non-occupational"
Condition	ochotona iliensis	1	42596973	Ochotona iliensis
Condition	ocular complications	1	4308391	Mechanical complication of intraocular lens
Condition	ocular macular disease	1	372828	Herpes zoster ophthalmicus
Condition	ocular pathology	1	42538089	Ocular
Condition	"odynophagia , respiratory distress"	1	4147218	Swallowing painful
Condition	oesophageal varices	1	24966	Esophageal varices
Condition	of childbearing potential - post-menopausal	1	40757139	Counseling for women of childbearing potential with epilepsy (EPI)
Condition	of pulmonary infiltrates	1	4249557	Radiologic infiltrate of lung
Condition	olfaction disorder	1	4168062	Disorder of smell
Condition	oligosymptomatic infection	1	43225	Disorder due to infection
Condition	oliguria	1	4306451	Oliguria
Condition	oliguria or anuria	1	4090272	Anuria
Condition	oncohematological disorders	1	4274025	Disease
Condition	oncologic/hematologic malignancy	1	38004502	Hematology/Oncology
Condition	ongoing acute diseases	1	443883	Acute disease
Condition	ongoing angina	1	45878805	Ongoing
Condition	ongoing covid-19 infection	1	756039	Respiratory infection due to COVID-19
Condition	ongoing pregnancy	1	4262136	Blighted ovum
Condition	ongoing prostate cancer	1	45884513	Prostate cancer
Condition	ongoing septic shock	1	196236	Septic shock
Condition	ongoing skin infection	1	45878805	Ongoing
Condition	ongoing symptomatic cardiac arrhythmias	1	44784217	Cardiac arrhythmia
Condition	ongoing ventricular cardiac dysrhythmias of grade 2	1	4185572	Ventricular arrhythmia
Condition	open chest injury	1	37116485	Open wound of thorax
Condition	open fracture	1	4264281	Open fracture
Condition	open wound	1	4243486	Open wound
Condition	ophthalmic herpes virus infection	1	372828	Herpes zoster ophthalmicus
Condition	ophthalmologic disorder	1	373499	Disorder of eye region
Condition	opioid abuse	1	43813	Opioid abuse
Condition	opioid misuse	1	36685751	Maternal history of opioid misuse
Condition	opportunistic infection	1	4247535	Opportunistic infectious disease
Condition	optic nerve pathology	1	21499129	Optic nerve
Condition	optional laboratory criteria	1	704996	Patient meets COVID-19 laboratory diagnostic criteria
Condition	oral expression impairment	1	4039746	Expressive language impairment
Condition	"oral secretions , respiratory secretions"	1	4311165	Respiratory secretion
Condition	organ ( s )	1	375536	Organic writer's cramp
Condition	organ - or tissue transplant	1	4148627	Excision of transplanted tissue or organ
Condition	organ damage	1	439093	Traumatic lesion during delivery
Condition	organ dysfuncion	1	4259632	Organism
Condition	organ dysfunction / failure	1	443207	Single organ dysfunction
Condition	organ injury failure	1	4212484	Multiple organ failure
Condition	organ or hematologic transplant	1	4148627	Excision of transplanted tissue or organ
Condition	organ system dysfunction	1	45757803	Systemic inflammatory response syndrome without organ dysfunction
Condition	organ/bone marrow transplant	1	4028623	Transplantation of bone marrow
Condition	organic brain syndrome	1	373995	Delirium
Condition	organic lesion	1	44803213	Biopsy of lesion of organ NOC
Condition	organic lesions	1	44803213	Biopsy of lesion of organ NOC
Condition	organic sexual problems	1	35623653	Sexual relationship problem
Condition	organized pneumonia	1	4284985	Organized pneumonia
Condition	oro-laryngeal	1	41953849	Oroër
Condition	orthopaedic fracture	1	21498732	Orthopaedics
Condition	orthopaedic problems	1	4147346	Pregnancy with orthopedic problem
Condition	orthosis	1	407946	Inshoe orthosis
Condition	osteogenesis imperfecta	1	78257	Osteogenesis imperfecta
Condition	osteomalacia	1	432594	Osteomalacia
Condition	osteopenia and osteoporosis	1	38004554	Osteoporosis/osteopenia (narrow)
Condition	osteopetrosis	1	81403	Osteopetrosis
Condition	other active infection	1	35917477	Other infection
Condition	other active infections	1	35917477	Other infection
Condition	other active pulmonry diseases	1	40757662	Active disease diagnosis
Condition	other acute infectious diseases	1	427145	Acute infectious disease
Condition	other addiction	1	440069	Drug dependence
Condition	other allergy	1	43530807	Allergic disposition
Condition	other anticoagulants	1	723599	"Antidotes to anticoagulants, other"
Condition	other arrhythmias	1	44784217	Cardiac arrhythmia
Condition	other associated neurological diseases	1	440638	Lyme disease
Condition	other atopic	1	133834	Atopic dermatitis
Condition	other autoimmune condition	1	441269	Autoimmune hemolytic anemia
Condition	other blood clotting disorders	1	432296	Coagulation factor deficiency syndrome
Condition	other blood disorder	1	79102	Arthropathy associated with a hematological disorder
Condition	other blood dyscrasia	1	402878	Blood dyscrasia puerperal
Condition	other body sample	1	4205695	Body substance sample
Condition	other cardiovascular morbidity	1	4266812	Cardiovascular morbidity
Condition	other cardiovascular or lung disease	1	4353095	Complication occurring during pregnancy
Condition	other causes of electrolyte disturbances	1	436234	Transitory neonatal electrolyte disturbance
Condition	other causes of hyposmia	1	378143	Encephalitis
Condition	other causes of hypoxia	1	4306572	Hypoxia
Condition	other causes of keratoconjunctivitis	1	380397	Keratoconjunctivitis
Condition	other causes of pneumonia	1	254066	Pneumonia caused by Chlamydiaceae
Condition	other cell therapies	1	4077953	Therapy
Condition	other chest diseases	1	7767	Chest pain
Condition	other chronic lung diseases	1	4186898	Chronic lung disease
Condition	other chronic respiratory disease	1	313023	Chronic respiratory disease in perinatal period
Condition	other clear contraindication	1	45882797	Contraindicated
Condition	other clinical conditions that contraindicate tocilizumab	1	363054	Physician documented GDR as clinically contraindicated [CMS Assessment]
Condition	other coagulation disorder	1	433604	Transient neonatal disorder of coagulation
Condition	other coagulation disorders	1	433604	Transient neonatal disorder of coagulation
Condition	other complicate conditions	1	434089	Antepartum hemorrhage
Condition	other concomitant acute infectious disease	1	427145	Acute infectious disease
Condition	other concomitant medical or psychiatric conditions	1	3045632	Psychiatric or mood diseases or conditions Set
Condition	other concurrent conditions	1	4284984	Concurrent
Condition	other concurrent life-threatening disease	1	40483553	Life threatening severity
Condition	other condition affecting gastrointestinal absorption	1	434744	Fetal or neonatal effect of maternal medical problem
Condition	other conditions/diseases	1	4059182	H/O: infectious disease
Condition	other confirmed infectious	1	438067	Malaria
Condition	other coronovirus infection	1	35917477	Other infection
Condition	other covid associated symptoms like anosmia	1	4009875	Associated symptom
Condition	other degenerative disease	1	4041681	System disorder of the nervous system
Condition	other demyelinating disorder	1	375801	Demyelinating disease of central nervous system
Condition	other diffuse interstitial lung disease	1	4119786	Interstitial lung disease
Condition	other digital media	1	374948	Acute secretory otitis media
