conditionOMOPID,conditionOMOPName
799086,WL-AAD-Z-W-751 - zinc oxide lotion
4327205,Acute left-sided congestive heart failure
41973973,Claußnitz
135923,Cleft palate
424144,Clinical
703429,COVID-19 excluded using clinical diagnostic criteria
40487101,Clinical sepsis
44808957,Heart failure clinical pathway
40482215,Referral to infectious disease clinic
4261867,Clinical manifestation of enzyme deficiency
4147834,Clinically relevant isoenzyme
4136455,Referral to stroke clinic
35927202,No B symptoms (asymptomatic)
44805861,Referral to coronary heart disease clinic
45881236,Clinical significance unknown
4129938,CNS metastases
4219855,Primitive neuroectodermal tumor
4290259,Blood coagulation disorder due to liver disease
38001518,Coagulation disorders
3199237,Coagulation function test
37053027,CD34 and Coagulation factor XIII Ag | Tissue and Smears | Pathology
437217,Coccidioidomycosis
37017073,Mini-Cog
42869253,Perceived cognitive abilities [FACIT]
4250118,GDS level 4 - moderate cognitive decline
4150851,Cognitive functions
4309262,Caregiver difficulty providing cognitive learning experiences
4027025,Infection by Giardia lamblia
41960074,Saint-Ouën-des-Toits
21600009,combinations; oral
45878845,Contraindicated drug
41929683,Commercy
435228,Common variable agammaglobulinemia
4127379,Able to communicate
134734,Compartment syndrome
41935552,Brach
4088337,Complete right bundle branch block
4267892,Complete left bundle branch block
36210711,Complete tetraplegia
4134577,Complex regional pain syndrome
321483,Respiratory complication
42709887,Hypertensive complication
420378,Respiratory therapy
40658749,Anti-lipid treatment contraindicated
4284984,Concurrent
375671,Concussion with loss of consciousness
373875,Abnormal nerve conduction
437843,"Conduct disorder, childhood-onset type"
44811808,Strengths and Difficulties Questionnaire - conduct problems score
73686,Tuberculosis of genitourinary system
4194405,Cancer confirmed
405572,Vascular hemostatic disease
46273753,Haemophilus influenzae type b infection
45883496,"Pneumonia, x-ray confirmed"
35923655,"Positive, Reverse Transcriptase Polymerase Chain Reaction (RT-PCR) test"
45765451,Renal cell carcinoma
44783645,MERS-CoV
4068118,Congenital corneal opacity with visual deficit
4033363,Hereditary sclerosing poikiloderma
435358,Hemorrhagic disease of the newborn due to vitamin K deficiency
4171125,Congenital human immunodeficiency virus positive status syndrome
316999,Conduction disorder of the heart
4169977,Congenital malformation of upper alimentary tract
4080695,Passive conjunctival congestion
7586,Constipation
134438,Contact dermatitis
4323959,Contact person
1002208,Are you homeless or worried that you might be in the future [WellRx]
4080169,Continuous ambulatory peritoneal dialysis
4314777,Immunosuppressive therapy
46270565,Dependence on continuous supplemental oxygen
37018292,Continuous renal replacement therapy
4050863,Continuous hemodialysis
405133,Continuous venovenous hemofiltration
4069548,Contraceptive diaphragm
4062354,Contraceptive implant education
44789398,Discussion about contraception injection
3562594,Researcher
44792581,Medication contraindicated
40767148,Contraindications for test [PhenX]
45877452,No contraindications to thrombolytic Use
4096455,Radiographic contrast agent nephropathy
4164696,Allergy to contrast media
37208938,CT four phase scan of liver with contrast
40481511,Asthma control test
4015936,Chronic disease - poor control
4295637,HIV CDC category
3630796,Inconsistent with IBS
40484648,Type 1 diabetes mellitus uncontrolled
42001932,Sera
757687,COVID-19 Intubation advance directives
4108915,Convent
42064123,Corona
4184832,Coronary angioplasty
38003115,Coronary Care - Myocardial Infarction
4087743,Family Coronaviridae
4048622,Reconstruction of nose
4122664,Counter
4130741,19
723461,Emergency department COVID-19 Initial Evaluation form
715267,COVID-19 Intubation Progress note
756044,Acute respiratory distress syndrome (ARDS) due to COVID-19
4050046,Au pair
36674401,"Flat face, microstomia, ear anomaly syndrome"
40764999,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)"
372241,Creutzfeldt-Jakob disease
4041149,Sari blouse
4232955,Cryptogenic cirrhosis
4124688,Culture-negative endocarditis
45879717,"Hepatitis C virus infection, past or present"
4084961,Mixed cutaneous pinta lesion
4316335,Accidental poisoning by cyanide
42585107,Cittura cyanotis cyanotis
42083368,Vaga
4077693,Integrity
4322628,D-dimer assay
2132844,Dermacolor body camouflage D0
1311409,dacarbazine
4295343,Damage
44809133,Sun damaged skin
4156127,Skin pigmentation
1311799,daunorubicin
45771255,Compensated liver disease
434489,Dead
45879037,SEVERELY IMPAIRED-never/rarely made decisions
4314553,Decompensation
4111554,Decompensated cardiac failure
36310735,Decreased function
37397687,Decreased urine output
4138337,Induction of deep sedation
706627,Instructions
4096912,Low motivation
44804235,Network - National Public Health Classification
44811552,Health of the Nation Outcome Scale score 2 : mild problem but definitely present
2149852,Degeneration
4009656,Déjérine-Sottas disease
4269623,Delimiting keratotomy
44782836,Delivered oxygen flow rate to non ventilated lung
427356,Premature labor
444401,Delusions
46271045,Neurocognitive disorder
45767569,Born in Democratic Republic of Congo
4274412,Demographic history finding
4004596,Demonstrator
4048094,Denied
4330435,Denmark
38003684,Dental Hygienist
4059766,Free dental treatment
46285805,Letter from public health department
415976,Dependent
4029451,Pseudo-Cushing's syndrome of depression
35622578,Phenylpiperazine derivative
4214566,Dermatology
4033935,Dermatological non-disease
4115117,American Urological Association staging system for prostate cancer
19006871,argipressin
4215716,Hepatitis C viral load
4215562,Viral load
4078663,Method of detection
419844,Deteriorating renal function
4077493,Patient's condition deteriorating
37791,Deviated nasal septum
1518254,dexamethasone
44877755,DEXCOM G4 SENSOR
30968,Diabetes insipidus
442793,Complication due to diabetes mellitus
43694,Metabolic syndrome X
380097,Macular edema due to diabetes mellitus
192279,Disorder of kidney due to diabetes mellitus
706356,Diabetology
38004554,Osteoporosis/osteopenia (narrow)
4310034,Osteoporosis treatment changed
37310582,PTSD (post-traumatic stress disorder) checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth edition)
4125638,Early stage
4115246,Difficult venous access
4153379,Difficulty
4055872,Diffuse
256722,Bronchopneumonia
4121341,Diffuse cerebrovascular disease
35922752,Diffusely infiltrative
4201745,Disorder of digestive system
37311947,Hemorrhage of digestive system
40492458,Neoplasm of uncertain behavior of digestive organ
4036241,Media
416371,Dilated cardiomyopathy
92898,dimethyl sulfoxide
4265179,Diphtheria due to Corynebacterium diphtheriae
4132627,Discontinued
413918,Centrilobular
4249111,Affect
432706,Dissecting
4177199,Disseminated cytomegalovirus infection
4089506,Disseminated strongyloidiasis
4077868,Distribution
4223938,Dizziness
413464,Not intubated
4119499,Not for resuscitation
36310723,Do not resuscitate (DNR) order
764355,Documentation of allergy history
2106826,Ribonucleic acid (RNA) testing for Hepatitis C viremia ordered or results documented (HEP C)
40664728,Documentation of diagnosis of chronic kidney disease
762873,Documentation of human immunodeficiency virus infection medication action plan
3038486,Healthcare Associated Infection report Document
36309657,Past infection
40973,Whole blood unit collection
442046,Dopaminergic drug used in parkinsonism adverse reaction
1125443,dornase alfa
4337612,Double lung transplant
4320803,Anomaly of chromosome pair 21
439224,Allergy to drug
36310711,Drug
378427,Tear film insufficiency
46294616,DRY SORE THROAT - onosmodium virginianum root pellet
44786417,Dsm-ivtm criteria for major depressive disorder documented at the initial evaluation
140487,Dermatitis herpetiformis
45881447,ICU.surgical
42035302,County Durham
4196247,Dutch rabbit
4196636,Dysarthria
400647,Dysfibrinogenemia
442335,Dyslexia
44801882,Dysthyroid exophthalmos
4021923,Walter Reed staging of prostatic cancer
4270887,Erythroderma
434554,"Hormone, synthetic hormone substitute or hormone antagonist adverse reaction"
4061684,Contraceptive method: female sterilization
4101621,Right ventricular abnormality
45759411,Thoracic electrical impedance tomography system
4022093,Electrolyte imbalance
36716477,Electronic cigarette
44812654,Electronic general practitioner medical record received
45757521,Elevated total bilirubin
4190893,Serum ferritin high
2212762,C-reactive protein; high sensitivity (hsCRP)
3198682,Elevated transaminases
3032423,Date determined medically eligible to start HIV treatment
4153352,Embolic stroke
4250892,Emergency operation
70647,Emergency department
45883971,Hospital emergency department
4190823,Indústrias
4017461,Laparoscopic emergency appendectomy
4079617,Emergency hospital admission
4175853,End-stage
4123018,Cancer staging
4046986,End stage chronic obstructive airways disease
4190428,Endocrinology
4253731,Neonatal metabolic disorder
41485,Endocrinology department
4127485,Functional endoscopic sinus surgery
4321099,Endothelial metaplasia
434899,Specific enzyme deficiency
4078199,Epidural anesthesia
374023,Epilepsia partialis continua
4120739,Episodicities
1352141,factor VIIa
4201303,Ergotism
963998,Erleada Pill
4189309,Erythrocytosis due to polycythemia vera
19030957,Escherichia coli
4287089,VACTEL syndrome
3161,Disorder of esophagus
4236277,Hereditary thrombophilic dysfibrinogenemia
4480642,Estimation of glomerular filtration rate
3030923,Dental prognosis Best estimate
3032002,Ethnic background Stated
4302633,Ethanol
4079606,Aversion therapy - somatic ill
4226766,Every
35610343,Ex-heavy smoker
257004,Acute exacerbation of chronic obstructive airways disease
4089311,Exaggeration of H-response
763412,Excessive caffeine intake
414311,Episodic drug abuse
40769164,Exclusion criteria present [PhenX]
38000103,"Gastrointestinal perforation, ulceration, haemorrhage or obstruction"
439412,Mast cell disorder
2720513,A moribund patient who is not expected to survive without the operation
4302198,Dead - expected
38001501,"Extreme immaturity or respiratory distress syndrome, neonate"
433466,Deformity of facial bone
35602783,factor IX complex
4306428,Factor V Leiden genotype
4128938,Modulated
443919,Hypertensive renal failure
35805364,DCF
435233,Disorder of fatty acid metabolism
4098744,Favism
35807211,FDA approved drug
4264841,Lesion feature
36715384,Fecal microbiota transplantation
4074628,Feeling stressed
4155552,Object
406166,Preventive procedure
46237751,Fetal anomaly (specify)
4143203,Fetus with chromosomal abnormality
45889021,Fetal lung maturity assessment
4048097,Feverish cold
723587,FIBRINOLYTICS
253797,Post-inflammatory pulmonary fibrosis
4119442,Complicated pneumoconiosis
76801,Polyostotic fibrous dysplasia of bone
403076,Disturbed energy field
438359,Disease due to superfamily Filarioidea
4147094,Rheumatology department
4336131,Consecutive exotropia
37312013,Cerebral ischemic stroke due to subarachnoid hemorrhage
44792015,Primary immunisation - first dose
4219399,Allergy to fish
42031051,Finspångs kommun
4004292,Congenital stricture of rectum with fistula
43290577,Benzalkonium / Paraffin / Triclosan Oil [Flare Up]
4147411,Follicular non-Hodgkin's lymphoma
4025561,Food intake
764523,Foreign body
21499078,Formula
4187096,Fracture of lower limb
42066867,Freedom
4113266,Breakthrough
45771759,"Vascular occluder, reusable"
46235173,Q-T interval corrected based on Fridericia formula
4043378,Frontotemporal dementia
4242243,Cold injury
4223728,Fresh frozen plasma
45880423,Full-time
4028066,Acquired platelet function disorder
36557518,Systemic EBV positive T-cell lymphoproliferative disease of childhood of fundus uteri
423424,Glucose-6-phosphate dehydrogenase
37016159,Immunoglobulin G deficiency
42133,Timothy grass RAST
42899255,gadolinium
4141159,Gastric
2002651,Laparoscopic gastric restrictive procedure
30753,Esophagitis
46273183,Intestinal hemorrhage
4168618,Injury of gastrointestinal tract
3180853,Family history of GI malignancy
4256632,Upper gastrointestinal surgery
38004502,Hematology/Oncology
43674695,Ibuprofen 600 MG [Ibuprofen Klinge]
193174,Cystic fibrosis with meconium ileus
194751,Gastrointestinal tract problem
4154614,Diverticulitis of gastrointestinal tract
195847,Gastroparesis syndrome
4077214,General condition of skin
1002267,Genetic risk score for coronary heart disease
4166231,Genetic predisposition
420646,Problem
41943229,Gières
4290976,Temporal arteritis
4189121,Gits
4296538,Glasgow coma scale
4044923,Global aphasia
4053065,Deficiency of glucose-6-phosphatase
4308509,Impaired fasting glycemia
4143341,Generalized glycogenosis
35940662,Internet sources
195289,Goodpasture's syndrome
40459835,Grade 4
443216,Graft versus host disease
4218497,Granulocytopenic disorder
4300478,Chronic granulomatous disease
4232076,Graves' disease
44353,Hematochezia
75004,Frank hematuria
4059371,Gross pathology - abnormality
4114502,Gustatory
38004513,Gynecology/Oncology
4577286,Gynecological operating table
4195979,H/O: Disorder
4044013,Hematologic neoplasm
4222402,Hematopoietic system disease associated with AIDS
37396829,Hemodynamic monitoring
4236898,Hemophilia
44816335,hafnium
19039287,triazolam 0.25 MG Oral Tablet [Halcion]
433031,Hallucinations
4059328,H/O: skin disorder
4190045,Rigor
4088436,Menstruation
40766893,"Have you ever had pneumonia, include bronchopneumonia [PhenX]"
44788725,Hazardous alcohol use
4114222,Malignant tumor of head and neck
4181669,Head circumference
414532,Child health care
45885166,Healthcare professional
4143092,Hospital acquired pneumonia
45672351,HEALTHY ACCENTS IBUPROFEN CHILDRENS - ibuprofen suspension
36413851,36000 MG dibrompropamidine 0.0015 MG/MG / Undecylenate 0.02 MG/MG Topical Cream [Healthy Feet] by J Pickles
378444,Hearing disorder
43022068,Exacerbation of congestive heart failure
4209006,Heavy smoker
2616497,"Walker, heavy duty, wheeled, rigid or folding, any type"
4123514,Heightened
4179922,Cytopenia
430215,Hematologic disorder medication review
37054023,Malignant cells/100 cells | Liver | Hematology and Cell counts
46272851,Subcutaneous injection of hematological growth factor
44792778,Breastfeeding at discharge from hospital
42511587,Germ cell tumor with associated hematological malignancy
37016333,Albinism co-occurrent with hematologic disorder
4071522,Hematopoietic maturation
4301929,Hematopoietic stem cell
4021915,Hematopoietic system finding
79864,Hematuria syndrome
4161701,Pericardial effusion
41956214,Relevant
4117777,Hemodynamically stable
4050864,Hemofiltration
4080723,Extracorporeal circuit equipment
764721,Cerebrovascular accident with intracranial hemorrhage
197625,Third stage hemorrhage
35807243,Hemostasis medication
42741643,Hepatitis B vaccine series recommended (HEP-C)
1367571,heparin
434038,Hepatitis C carrier
4302461,Hepatitis E virus
35624165,Radio-renal syndrome
4006312,Homozygous porphyria cutanea tarda
4114534,Hereditary
4083784,Complement deficiency disease
313504,Osler hemorrhagic telangiectasia syndrome
4478285,Hereditary retinal dystrophy primarily involving retinal pigment epithelium
443916,Hereditary disease
44782478,Hereditary cancer-predisposing syndrome
45877279,Herpes
435463,Herpesvirus infection
140027,Herpetic gingivostomatitis
4082585,Herpetiform eruption
4043047,Heterosexual relationship
4254068,Sensor device
4325546,Macrophage activation syndrome
261493,Variable concentration mask
45760468,Warming/high-flow infusion pump
4353953,Intracranial pressure
764403,At risk for disease progression
4048407,High risk of
46272886,At high risk of venous thromboembolism
405935,H/O: high risk medication
4149377,High risk drug monitoring
42063021,Center
35912944,High grade
4083126,High resolution CT of lungs
35918059,High Risk Features
36308402,Women's health: High-risk pregnancy
4058854,High risk of heart disease
40481546,High troponin I level
4059166,Higher education
44802883,Haemodialysis anticoagulant bolus dose
764221,Highly probable
37035551,Distant metastases confirmed by histology | Cancer specimen | Pathology
42081375,Historic Central
4038835,Hodgkin's disease
4139934,Homeless
4024763,Homicidal thoughts
8715,Hospital admission
42528158,Infectious disease Hospital Note
4053939,Burning due to contact with hot household appliances
37311064,2019-nCoV vaccination
4143187,Anomaly of placenta
45879809,Humira
43012721,Haemophilus influenzae
1747499,"RETAINE NACL - boric acid, hypromelloses, methylparaben, propylene glycol, propylparaben, sodium borate, water, sodium hydroxide and/or hydrochloric acid solution"
433811,Hydronephrosis
1792515,chloroquine
4115103,Hyper-resonant
4087611,Hyperbaric oxygen therapy
4032334,Hyperbilirubinemia
4295287,Hypercoagulability state
4214376,Hyperglycemia
42536603,Hyperosmolar hyperglycemic coma due to diabetes mellitus without ketoacidosis
4304907,Hyperhomocysteinemia
4197895,Hyperimmune state
706385,Team
4292079,Hyperlipoproteinemia
3667425,Hypernatremia
133729,Hyperparathyroidism
45768449,Hypertensive crisis
4124693,Hypertrophic cardiomyopathy
4058388,Hypertrophic scar
4065283,EKG: right ventricle hypertrophy
4001047,Hypoalbuminemia
4125644,Hypofibrinogenemia
36310799,Hypogammaglobulinemia
4031727,Hypoglobulinemia
4029422,Hypoglycemic event due to diabetes
4167354,Hypogonadism
4218592,Hypopharyngeal structure
4254542,Hypopituitarism
37110169,"Hyposmia, nasal and ocular hypoplasia, hypogonadotropic hypogonadism syndrome"
36308133,Hypotonia
312603,Hypoventilation
4281846,Hypoxic nephrosis
45884165,Pattern consistent with IBD: Crohn's disease
301018,Newborn ICU admission diagnosis
37039307,Allergens identified | Serum | Allergy
4025168,Diffuse interstitial pulmonary fibrosis
35806066,Pd
4128061,IgA nephropathy
36307747,IgM positive
31378,Mobitz type II atrioventricular block
36232735,Antagon Injectable Product
302868,Alcohol and/or substance abuse service attachment
45769428,Illicit drug overdose
4092098,Use of imagination
45877482,Esophageal intubation-immediately
4269212,Immediate skin test reaction
45768704,Abutment tooth condition minimally compromised
4119105,Immunization for autoimmune disease
35917384,Profound Immune Suppression
413743,Idiopathic thrombocytopenic purpura
4188177,Immune-mediated conjunctivitis
36308861,Disease related
37109666,Neutrophil immunodeficiency syndrome
761897,Immunologic disorder medication review
4098179,Immunology laboratory test
4038954,Altered immunity
46284256,HIV (human immunodeficiency virus) disease resulting in haematological and immunological abnormalities
4187653,Immunologic mediated TIN
35807403,Immunomodulatory drugs (IMiDs)
4001325,Effects of immunosuppressant therapy
4152893,Property
45772714,At risk of impaired cardiac function
4313561,Cardiac myocyte
37018222,At risk of impaired gastrointestinal system function
4148055,Immune response
45767013,At risk of impaired respiratory system function
439654,Partial epilepsy with impairment of consciousness
42742443,Implantable cardioverter-defibrillator (ICD) counseling provided (HF)
45885093,Adult Infectious Disease Medical Unit
42709972,Breast prosthesis in situ
4265571,Finding related to ability to comply with treatment
9173,Inactive
4216163,Health needs
4202486,Ibdes
4178904,Body temperature above reference range
4228212,Lactate dehydrogenase isoenzymes measurement
4086507,Undifferentiated illness
4153901,Sensibilities
4041362,Increased skin sensitivity
4341633,Indeterminate colitis
4057307,Indifference to pain
4305451,Infant
4206471,Infarct
46234713,Prognosis
437784,Infectious mononucleosis
4218568,Non-infectious pericarditis
4137142,Body fluid
402176,Non-infectious pneumonia
4223947,"Viral hepatitis, type A"
21605525,INFLAMMATION AND INFECTION DETECTION
72405,MUSCULO-SKELETAL SYSTEM
4353162,Symptomatic inflammatory myopathy
45883619,Rheumatoid arthritis - rheumatism
4306267,Coag./bleeding tests abnormal
4132431,Homozygous beta thalassemia
42020403,Jak-dong
40762572,Date case initiated Cancer case
1500211,medroxyprogesterone
4026079,Institutionalized
4047906,Insulin dependent diabetes mellitus type 1A
4209555,Intelligibility
43012761,interleukin-6
3630953,Internal bleeding
3631059,International travel
194993,Intestinal malabsorption
195002,Ulceration of intestine
36674577,Intolerance to lactose
42528776,Allergy or intolerance criticality
4038105,Intra-articular
312902,Benign intracranial hypertension
45767315,At risk of negative quality of life
4118351,Intravascular
37109076,History of intravenous drug abuse
4181778,Intravenous injection
4114527,Intrinsic
46270536,History of invasive malignant neoplasm of breast
4170491,Allergy to iodine compound
4184149,Feeling irritable
4115429,Ischemic
36309963,"Cerebrovascular accident (CVA), transient ischemic attack (TIA), or stroke"
380034,EKG/ECG - Telemetry
35914226,Low grade
201313,Hypertensive renal disease
42033114,Hasselt
73553,Arthropathy
4200291,Joint prostheses and components
4005037,Childhood type dermatomyositis
4259507,Juvenile idiopathic arthritis
1748986,lopinavir 200 MG / ritonavir 50 MG Oral Tablet [Kaletra]
424435,Hypogonadism with anosmia
132982,Keloid scar
380397,Keratoconjunctivitis
4209145,Ketoacidosis
38000894,Simultaneous pancreas/kidney transplant
40420291,Klinefelter syndrome
4032503,Radiographic calcification
2788843,Yoga Therapy
416546,Structured interview for DSM-III personality disorders
4118469,Condition
4079571,Loss of motivation
4239233,Lactic acidosis
4150493,Total lactic dehydrogenase measurement
41956953,Roussillon
432695,Post-term pregnancy
4157989,Laterality
45883615,Latino
3623104,Latuda Pill
4147564,A/N care midwifery led
4108819,Pulmonary valve stenosis with insufficiency
4235161,Left ventricular assist device
4184746,Left ventricular hypertrophy
40487105,Left ventricular myocardial noncompaction cardiomyopathy
4047088,Left ventricular systolic dysfunction
422773,Left handed
4116197,Lentigo maligna
4338966,Alteration in nutrition: less than body requirements
793628,Rhaponticum carthamoides root extract
4290243,Level of consciousness
44807271,Has ADRT (advance decision to refuse treatment) for life sustaining treatment
37309635,Abnormal fetal heart rhythm
41948773,Limas
4224038,Oxygen nasal cannula
41898483,Zé Doca
4163845,Loa
4093131,Radionuclide study for localization of tumor or inflammatory disease
4112102,Localized malignant reticulohistiocytoma
37310457,Locally advanced breast cancer
4141128,Absence of sensation
4084374,Long-term assistance
45770703,Multiple long term conditions
4479246,On full dose long term treatment for depression - enhanced services administration
44804233,Long term condition - National Public Health Classification
4259887,Tail autonomy
765835,Direction of communication
194133,Low back pain
4313695,Decreased cardiac output
371097,Low risk
3014315,Urine output
4239582,Visual acuity
4129022,Low risk pregnancy
44791986,Minimal trauma fracture
45884893,Chronic Lower Respiratory Disease
41886361,Lue
45772946,Cystic hamartoma of lung and kidney
35937882,Liver|Lung
4176306,Disorder related to lung transplantation
440748,Interstitial emphysema of lung
4065404,Lung function restrictive
4201174,Injury of lung
4184222,Tumor invasion into lung parenchyma
4070879,Lobectomy of lung
443388,Malignant tumor of lung
4148982,Medical department
37206719,Nodule of lung
4116314,Entire lung parenchyma
44501318,"Hodgkin lymphoma, nodular sclerosis, cellular phase of lung, NOS"
420641,Resected lung sample
45637137,LEADER TABTUSSIN DM TDM - dextromethorphan hydrobromide / guaifenesin tablet
411925,Lung tumor excision
37037869,Lung | Ultrasound | Radiology
4084282,Bilateral lung ventilation
255891,Lupus erythematosus
315085,Lymphadenopathy
4038838,Non-Hodgkin's lymphoma
432571,Malignant lymphoma
4000173,"Malignant lymphoma, lymphoplasmacytic"
437979,Enlargement of tongue
4323636,Macrolide
462737,Maintenance hemodialysis
45766037,Pre-admission assessment for major surgery
36309915,Cardio/pulm: Peripheral vascular disease
42538413,New Zealand Priority Criteria for Major Joint Replacement score
3168377,Patient is incapable of making informed decisions
37079378,Other major neurological surgery
4232682,Trauma - physical agent
4215802,Cardiac asthma
40486414,Mal de debarquement syndrome
4330325,Malaysia
46271027,At risk of malignancy
195197,Primary malignant neoplasm of vulva
4155285,Malignant neoplasm of central nervous system
4090739,Nutritional disorder
4222106,Dendroaspis
4102936,Mood disorder with manic features due to general medical condition
44098,Atypical manic disorder
37111531,Acute kidney injury due to trauma
40481901,Mantle cell lymphoma
4273764,Infantile malignant osteopetrosis
40490918,Marginal zone lymphoma
193355,Injury of liver
4253829,Geographical location
45969038,Spacer/holding chamber device with mask
4079128,Massive blood transfusion
4121603,Maternal medical problem
4122051,Maternal nutritional disorder
762531,Maternal substance abuse
38004504,Maxillofacial Surgery
903091,AZS Arizona Specific: AZ Banner MD Anderson
42041823,Gad Island
4286972,Interactive medical psychiatric diagnostic interview
45759106,Medical chart holder
37397271,Centor criteria
43021499,Cardiovascular disorder medication review
45877532,Clinical or Medical
1384495,Mental Health: Mental Health Condition
45879871,Psychiatric problems
4338514,Psychosocial status
36308922,Medically complex conditions
4192905,Medication stopped - contra-indication
317208,Meningococcal carditis
436621,Meningococcal infectious disease
4322814,Meningoencephalitis
4066161,Well in self
4216159,Mental handicap
42869381,Additional concerns - mental [FACIT]
42528231,Mental health Custodial care facility Note
4308361,Secure and high-dependency mental health care
46286023,Subject to restriction order under Mental Health Act 1983
4086843,Mentally alert
45882869,Mental status change
4033891,Mesothelioma
4234106,Metal periosteal implant
4032806,"Neoplasm, metastatic"
723891,ANTIDIARRHOEAL MICRO-ORGANISMS
45882665,Confirmed
4234469,Diagnosis
4116872,Mid
37208091,No Streptococcus pneumoniae Isolated
4193121,Adé
4155468,Mild asthma
1035225,"Minor physical damage (e.g., lethargic speech; first-degree burns; mild bleeding; sprains)"
4115414,Mild present pain
42974,Mild cognitive disorder
141498,Cutaneous infectious disease due to Mycobacteria
3176154,Mild respiratory retractions
3181499,Mild distress
4072477,Minnesota
4193588,Moderate chronic obstructive pulmonary disease
757681,COVID-19 case report
21498835,"I have moderate headaches, which come frequently."
45765899,Moderate cognitive impairment
764978,Moderate left ventricular systolic dysfunction
4166601,Rivermead behavioral memory test
43531586,Symptomatic human immunodeficiency virus infection
4037485,Symptom moderate
413106,Systemic illness
4323894,Moderate to high risk of
42742416,"Dementia severity classified, moderate (DEM)"
4155158,Moderate to severe
4290738,Xerosis due to atopic dermatitis
1177294,Moderate severity
416755,Mohs surgery
4262845,Guidelines
42056548,Mohave County
42535978,Molecular messenger
37397341,Monoclonal B-cell lymphocytosis
36308218,"Yes, more than 3 conditions"
40769888,Have you ever had 3 or more ear infections [PhenX]
4027471,Fine motor disability
374631,Motor neuron disease
4238636,Movement observable
372604,Movement disorder
21498576,MSI-L
437915,Gastrointestinal mucositis
4046011,Focal pneumonia
35804804,MOF
45757803,Systemic inflammatory response syndrome without organ dysfunction
4060077,H/O: multiple allergies
42528381,Confidence in date of death
4223321,Multiple gated acquisition scanning
35933956,"Metastases to multiple distant lymph node chains, NOS"
4066289,Ventricular premature beats
4243947,Multiple symptoms
4182536,Transfusion
42529452,CTA Pulmonary arteries - bilateral and Pelvis veins and Lower extremity veins - bilateral for pulmonary embolus and deep vein thrombosis W contrast IV
36676901,Acute infantile liver failure with multisystemic involvement syndrome
45765764,Multisystemic therapy
42071088,Murray
4038591,O/E - muscle mass
4245116,Non-articular rheumatism
4150129,Musculoskeletal pain
4030914,Musculoskeletal alteration
4080011,Organ dysfunction syndrome
4034776,Mycobacteroides abscessus
42573272,Mycobacterium avium complex culture
4064362,Mycotic infection screening
138965,Myelitis
38012,Strabismus in neuromuscular disorder
4308807,Myocardial biopsy
4172865,Transient myocardial ischemia of newborn
36878746,myocardium
443464,Central pain syndrome
73001,Myositis
4266016,Tympanotomy
4035862,N-carbamoylputrescine amidase
4088856,N95 amplitude
4165094,Respirator fit testing
41949709,Malguénac
41952841,Nancy
724082,NARCOTICS
4134633,Nasal prongs
42537252,Polyp of nasal cavity
4135211,Epithelium
4023211,Collection of nasal pharyngeal aspirate
4577082,Mass of nasal sinus
42537251,Polyp of nasal cavity and/or nasal sinus
4091347,Nasal deviation
419664,Perforation of nasal septum
4051578,Nasal sinus structure
4024511,Steroid
42600142,Nasal swab
4063122,Nasogastric tube
4197268,Nasopharyngitis
4208169,Nasopharyngeal swab for virology received
3199775,EWS RNA binding protein 1 nucleotide sequence
4330025,National Health Service benefits
4087925,Ethnicity / related nationality data
45881397,NCI
4120136,Entire neck
4280654,Necrosis
4332995,Needle phobia
4014116,Blood - infectious titer negative
4057316,Vaginal swab culture negative
35934327,Negative Human Immunodeficiency Virus (HIV) status
1901144,everolimus
4161587,Neo-adjuvant - intent
4114528,Neonatal
40758216,Cancer treatments in last 14 days
4330329,Nepal
193253,Nephritis
4318677,Cervical nerve root compression
724071,NERVOUS SYSTEM
4208813,Infection of blood and lymphatic system
376337,Disorder of nervous system
4162976,Vasovagal syncope
444243,Neurosis
45771096,Neurodevelopmental disorder
4343,Neuroendocrine tumor
4024556,Metabolic renal disease
4099455,Psychiatric
4028934,Gynecological endocrinology disorder
4065251,Neurological diagnostic procedure - abnormal
42537139,Dissociative neurological symptom disorder co-occurrent with cognitive symptoms
4204852,Psychiatric sign or symptom
9219,percent blockade
4069943,Neuromuscular scoliosis
377263,Myoneural disorder
36308442,Other progressive neuromuscular disease
43533342,No neuropsychiatric symptoms
38186,Vascular abnormality of conjunctiva
3630868,Neutrophils
41953143,Nevers
4325437,New
42064759,Delhi
763098,New medication therapy needed for condition
4275423,Supraventricular tachycardia
4226789,New York Heart Association Classification - Class II
4228881,New York Heart Association Classification - Class IV
4119455,New onset angina
3172111,NIA-AA Alzheimer's disease neuropathologic change score in the structure of the brain
4120785,"Microcephaly, normal intelligence and immunodeficiency"
19069907,sodium nitrite
40768856,Are you currently pregnant [PhenX]
4135396,Nodality
4101098,Nodule
4152342,Nodule in skin or mucosa
37062167,Lactate | Urine | Chemistry - non-challenge
903277,Dentistry
38004111,Registered Pulmonary Diagnostics Therapist
40218804,Testing for SARS-CoV-2 in non-CDC laboratory
763461,Counseling strategy
4259632,Organism
37208188,Non-metastatic prostate cancer
36309645,Patient active
37116308,Non-intestinal type adenocarcinoma
4233854,Aggressive non-smoker
