Title,Acronym,Status,Study Results,Phases,Funded Bys,URL,trial_id,outcome,study_type,study_design
Clazakizumab (Anti-IL- 6 Monoclonal) Compared to Placebo for COVID19 Disease,nan,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04348500,NCT04348500,evaluate the safety of clazakizumab for the treatment of patients with covid-19 disease and signs of pulmonary involvement|patient survival at 28 days|patient survival at 60 days|number of patients requiring the dose of open-label clazakizumab|reduced duration of intensive care unit stay|reduced duration of hospital stay|reduced need for ventilation,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
Corticosteroids During Covid-19 Viral Pneumonia Related to SARS-Cov-2 Infection,CORTI-Covid,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04344288,NCT04344288,number of patients with a theoretical respiratory indication for transfer to intensive care unit evaluated by a spo2 <90% stabilized at rest and under not more than 5 l / min of supplemental oxygen using medium concentration mask.|disease severity assessed on a 7-level ordinal scale|number of patients with a supplemental oxygen use|radiological signs on chest imaging|number of patients transferred to intensive care unit|number of patients requiring invasive ventilation|duration of oxygen therapy|number of adverse events induced by corticosteroid treatment|number of patients with infections other than sars-cov-2|number of deaths,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Study of Immune Response During SARS-CoV-2 Infection - (COVID-19),CovImmune,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04355351,NCT04355351,level of ifn-gamma after a non-specific stimulation of t lymphocytes,interventional,allocation: non-randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: basic science
Vitamin D Supplementation in the Prevention and Mitigation of COVID-19 Infection,VitD-COVID19,recruiting,No Results Available,phase 4,Other,https://ClinicalTrials.gov/show/NCT04482673,NCT04482673,"change in total circulating 25(oh)d concentration|change in total circulating 25(oh)d concentration in covid-19 positives|change in sars-cov-2 antibody titers|change in inflammatory cytokine concentration (10 cytokine panel elisa: interferon (inf)-gamma, interleukin (il)-1beta, il-2, il-3, il-4, il-6, il-8, il-10, il-13, tumor necrosis factor (tnf)-alpha|respiratory symptoms|signs and symptoms of rhino/sinusitis|nci dietary intake|charlson comorbidity survey|paffenberger physical activity assessment|perceived stress|pandemic stress|neo-personality inventory|grassrootshealth monthly health assessment",interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: prevention"
Safety and Efficacy of EDP1815 in the Treatment of Patients Hospitalized With COVID-19 Infection,nan,recruiting,No Results Available,phase 2,Industry,https://ClinicalTrials.gov/show/NCT04488575,NCT04488575,change from baseline to the lowest s/f oxygen ratio|change in s/f ratio|percentage change in s/f ratio|percentage of participants at each level on the who osci score|percentage of participants with shifts from each level of the who osci score at baseline|percentage of participants remaining at their baseline score on the who osci (or lower)|percentage of participants reporting each level of the who osci score at their worst post-baseline day|the time in days spent at each participant's worst reported who osci score (excluding death).|intubation and mechanical-ventilation free survival|overall survival|number of days requiring oxygen therapy|number of days with pyrexia|maximum daily temperature|spo2 level|time to discharge|time to oxygen saturation (spo2) ≥94%|time to recovery|number of participants experiencing aes by seriousness and relationship to treatment|incidence of clinically significant abnormal lab parameters,interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, investigator, outcomes assessor)|primary purpose: treatment"
Testing the Accuracy of a Digital Test to Diagnose Covid-19,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04407585,NCT04407585,sars-cov-2 infection,observational,observational model: cohort|time perspective: prospective
Results of Emotional Support Activities During Hospital Admission With a Diagnosis of COVID19,WW2COVID-19,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04481477,NCT04481477,the adequacy of nursing care to the needs of the patient|intervention effectiveness,observational,observational model: case-only|time perspective: cross-sectional
"Chloroquine Phosphate Against Infection by the Novel Coronavirus SARS-CoV-2 (COVID-19): The HOPE Open-Label, Non Randomized Clinical Trial",HOPE,recruiting,No Results Available,phase 2,Industry|Other,https://ClinicalTrials.gov/show/NCT04344951,NCT04344951,50% reduction in symptom score for patients with lower respiratory tract infection|lack of progression for patients with upper respiratory tract infection|comparison of the primary endpoint with respective patients not receiving the treatment|serious respiratory failure until day 14. this will be compared with respective patients not receiving the treatment.|frequency of aes and saes,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: prevention
Nebulized Heparin in Severe Acute Respiratory Syndrome COVID-19,NEBUHEPA,recruiting,No Results Available,phase 4,Other,https://ClinicalTrials.gov/show/NCT04530578,NCT04530578,percentage of patients requirement mechanical ventilation|percentage of patients with pao2 to fi02 ratio > 300|lengths of hospital-stay|mortality rate,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
COVID19 Severity Prediction and Health Services Research Evaluation,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04463706,NCT04463706,clinical deterioration|relief of symptoms|mortality|complications at follow up|cost,observational,observational model: cohort|time perspective: retrospective
Therapeutic Plasma Exchange (TPE) for Covid-19 Cytokine Release Storm (CRS),Plexit,completed,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04485169,NCT04485169,survival|duration of hospitalization|timing of pcr negativity|time to crs resolution|complications,interventional,allocation: non-randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Study Evaluating the Efficacy of Hydroxychloroquine and Azithromycine in Patients With COVID-19 and Hematological Malignancies (HYACINTHE),HYACINTHE,withdrawn,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04392128,NCT04392128,evaluation of the efficacy of hydroxychloroquine and azithromyncine on the viral load drop at day 5.|clinical evolution|proportion of patients progressing to a severe form|mortality|evaluation of viral load drop|tolerance of study treatment|evaluation of the seroconversion|nk immunological study|hospitalisation duration|impact of the study treatment on the treatment of the hematological disease|monitoring of the qt space|dosage of residual concentration of azithromycine and hydroxychloroquine.|t immunological study,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
Acral Cutaneous Thrombotic Vasculopathy and Covid-19 Infection,nan,"active, not recruiting",No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04361786,NCT04361786,biological acquired thrombophilia|overexpression of interferon type i,observational,observational model: case-only|time perspective: prospective
Predictors of Cardiovascular Risk in Covid-19 Patients During Acute Disease and at Short Term Follow-up,CARDICoVRISK,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04371289,NCT04371289,"predictive modeling of in-hospital outcome|clinical, pathophysiological and molecular mechanisms|short -term sequelae",observational,observational model: cohort|time perspective: prospective
COVID-19 Disease Duration and GIT Manifestations. A New Disease Severity Classification. An Egyptian Experience,nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04554979,NCT04554979,covid-19 disease spectrum and duration|git manifestations among covid-19 patients|non-communicable disease and covid-19|seasonal change and covid-19|possible region specific classification for covid-19 disease,observational,observational model: cohort|time perspective: retrospective
"A Study on the Safety, Tolerability and Immune Response of SARS-CoV-2 Sclamp (COVID-19) Vaccine in Healthy Adults",nan,recruiting,No Results Available,phase 1,Other,https://ClinicalTrials.gov/show/NCT04495933,NCT04495933,"frequency of solicited local reactogenicity adverse events (aes)|frequency of solicited systemic reactogenicity adverse events (aes)|grading of solicited local reactogenicity adverse events (aes)|grading of solicited systemic reactogenicity adverse events (aes)|unsolicited adverse events (aes)|serious adverse events (saes), medically attended adverse events (maaes) and any adverse events (aes) leading to study withdrawal at any time during the study|geometric mean titer (gmt) of the serum antibody response|geometric mean titer (gmt) of the serum neutralizing antibody (nab) response to sars-cov-2 virus|total serum antibody immune responses|proportion of participants with ≥ 4 fold increase in titer above baseline|gmt of the serum neutralizing antibody (nab) titres",interventional,"allocation: randomized|intervention model: sequential assignment|masking: triple (participant, care provider, investigator)|primary purpose: prevention"
Hospitalized Children and Adolescent Patients With Type 1 Diabetes During the COVID-19 Pandemic in Egypt,nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04536285,NCT04536285,clinical characteristic of pediatric and adolescent patients with type 1 diabetes hospitalized with covid -19.|laboratory characteristic of pediatric and adolescent patients with type 1 diabetes hospitalized with covid -19.|prognosis of pediatric and adolescent patients with type 1 diabetes hospitalized with covid -19.|incidence of new onset type 1 diabetes among confirmed cases of covid-19 infection among children and adolescents|presentation of diabetes and its acute complications among pediatric and adolescent patients with type 1 diabetes during covid-19 pandemic in egypt,observational,observational model: case-only|time perspective: cross-sectional
Reliability of a Pocket Sized Ultrasound Scanner in the Evaluation Covid-19 Pneumonia,USCovid,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04433000,NCT04433000,bland-altman estimate of bias and limits of agreement (loa) of patient mean scores obtained with the two instruments,observational,observational model: case-only|time perspective: retrospective
Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,nan,completed,No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04261517,NCT04261517,"the virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 3|the virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 5|the virological clearance rate of throat swabs, sputum, or lower respiratory tract secretions at day 7|the mortality rate of subjects at weeks 2|number of participants with treatment-related adverse events as assessed by ctcae v5.0|the critical illness rate of subjects at weeks 2",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Convalescent Plasma in Pediatric COVID-19,nan,recruiting,No Results Available,early phase 1,Other,https://ClinicalTrials.gov/show/NCT04458363,NCT04458363,"number of grade 3-5 adverse events that are possible, probably or definitely related to the convalescent plasma (cp) infusion|change in percent of supplemental oxygen|number of patients that required change in level of respiratory support|mortality|mean length of icu stay (days)|mean length of hospital stay (days)|mean length of ventilation (days)|number of patients with progression to renal dysfunction and/or multisystem organ failure|il-6 level|number of anti-sars cov 2 specific t cells|diversity of circulating t cells|ars-cov-2 antibody titer|sars-cov-2 neutralizing titer",interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: treatment
Effect of a Combination of Treatment of Reginmune Capsule and Immunofree Tablets in the Treatment of Mild to Moderate COVID-19 Patients,nan,recruiting,No Results Available,phase 2|phase 3,Other,https://ClinicalTrials.gov/show/NCT04494204,NCT04494204,time (days) to clinical improvement from study enrollment|proportion of participants in each group with oxygen saturation more than 94% on room air for more than 24h|value of coagulation indicators|time to first negative sars-cov-2 pcr in np swab|duration of oxygen therapy|proportion of participants in each group with need for mechanical ventilation|duration of hospitalization,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Defibrotide as Prevention and Treatment of Respiratory Distress and Cytokine Release Syndrome of Covid 19.,DEFACOVID,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04348383,NCT04348383,1. mortality rate|clinical improvement by who|clinical improvement by news2 scales|biologic response|radiological response|collection and storage of biological samples,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: treatment"
Efficacy of Nafamostat in Covid-19 Patients (RACONA Study),RACONA,not yet recruiting,No Results Available,phase 2|phase 3,Other,https://ClinicalTrials.gov/show/NCT04352400,NCT04352400,time-to-clinical improvement|responders|critical or dead patients|po2/fio2 ratio|sofa score over time|hospitalization|mechanical ventilation|mechanical ventilation duration|cardiovascular disease,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: treatment"
Fear Among Dentists During COVID-19 Pandemic,nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04383626,NCT04383626,fear among dentist during covid 19 epidemic|practice modification among dentist during covid 19 epidemic,observational,observational model: other|time perspective: cross-sectional
Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19,IMPROVE,recruiting,No Results Available,phase 4,Other,https://ClinicalTrials.gov/show/NCT04367831,NCT04367831,total number of patients with clinically relevant venous or arterial thrombotic events in icu|total number of patients with in hospital clinically relevant venous or arterial thrombotic events|icu length of stay|total number of patients with the need for renal replacement therapy in the icu|total number of patients with major bleeding in the icu|hospital length of stay,interventional,allocation: randomized|intervention model: parallel assignment|masking: single (outcomes assessor)|primary purpose: treatment
"International COVID19 Clinical Evaluation Registry,",HOPE COVID 19,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04334291,NCT04334291,death|in hospital stay.|heart failure|renal failure|respiratory insufficiency.|upper respiratory tract involvement|pneumonia|sepsis|systemic inflammatory response syndrome.|clinically relevant bleeding|other complications.,observational,observational model: cohort|time perspective: cross-sectional
Clinical Phenotype and Outcomes of Inpatients With COVID-19 and Diabetes,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04550403,NCT04550403,"prevalence of intensive care unit admission and/or in-hospital mortality among covid-19 inpatients|prevalence of death among covid-19 inpatients with and without diabetes|prevalence of intensive care unit admission among covid-19 inpatients with and without diabetes|demographic and clinical characteristics (age,gender, comorbidity status) and death and/or intensive care unit admission during hospitalization|laboratory parameters (glycated hemoglobin, glucose at admission, renal and liver function markers, blood count, inflammatory markers, hemostasis) and death and/or intensive care unit admission during hospitalization|pharmacological therapies and death and/or intensive care unit admission during hospitalization|number of days of hospitalization in patients with and without diabetes",observational,observational model: cohort|time perspective: retrospective
Tenecteplase in Patients With COVID-19,nan,not yet recruiting,No Results Available,phase 2,Other|Industry,https://ClinicalTrials.gov/show/NCT04505592,NCT04505592,number of participants free of respiratory failure|number of occurrences of bleeding|number of participants with in-hospital deaths at 14 days|number of participants with death at 28 days|number of ventilator-free days|number of respiratory failure-free days|number of vasopressor-free days|vasopressor doses at 24 hours|vasopressor doses at 72 hours|p/f ratio at 24 hours|p/f ratio at 72 hours|number of icu-free days|hospital length of stay|number of participants with new-onset renal failure|number of participants with need for renal replacement therapy,interventional,"allocation: randomized|intervention model: sequential assignment|masking: triple (participant, care provider, investigator)|primary purpose: treatment"
"Postoperative Recovery Index, Patient Expectations and Satisfaction With Prenatal Care Instrument in Pregnant Patients With COVID-19",nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04389515,NCT04389515,"evaluation of pregnant women diagnosed with covid-19 with ""post-operative recovery index"" and ""prenatal care satisfaction and patient expectations scale""",observational,observational model: ecologic or community|time perspective: prospective
Post COVID-19 Functional Status in Egypt,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04479293,NCT04479293,number of functional limitations post covid-19|number of psychologic changes|sleep disturbance and quality|radiologic changes|laboratory changes,observational,observational model: cohort|time perspective: prospective
Efficacy of Convalescent Plasma Therapy in Severely Sick COVID-19 Patients,nan,completed,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04346446,NCT04346446,proportion of patients remaining free of mechanical ventilation in both groups|mortality in both groups|improvement in pa02/fi02 ratio in both groups|improvement in sofa score in both groups|duration of hospital stay in both group.|duration of intensive care unit stay in both groups.|requirements of vasopressor in both groups.|days free of dialysis in both groups.,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Covid-19 Associated Coagulopathy,nan,recruiting,No Results Available,phase 4,Other,https://ClinicalTrials.gov/show/NCT04360824,NCT04360824,"mortality|major bleeding|arterial thrombosis|venous thromboembolism|icu admission, intubation/ventilation|packed red blood cell transfusions|platelet transfusions|fresh frozen plasma transfusions|cryoprecipitate transfusions|prothrombin complex concentrate transfusions",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Dexamethasone Vs Methylprednisolone for the Treatment of Patients With ARDS Caused by COVID-19,nan,recruiting,No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04499313,NCT04499313,mortality rate (in hospital)|clinical improvement|ventilator free days|changes in oxygen level,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Study of Mavrilimumab (KPL-301) in Participants Hospitalized With Severe Corona Virus Disease 2019 (COVID-19) Pneumonia and Hyper-inflammation,nan,recruiting,No Results Available,phase 2|phase 3,Industry,https://ClinicalTrials.gov/show/NCT04447469,NCT04447469,cohort 1: proportion of participants alive and without respiratory failure at day 15|cohort 2: mortality rate at day 15|cohort 1: time to return to room air by day 15|cohort 1: time to 2-point clinical improvement by day 15|cohort 1: mortality rate at day 29|cohort 1: time to 1-point clinical improvement by day 15|cohort 2: mortality rate at day 29|cohort 2: proportion of participants alive and without respiratory failure at day 15|cohorts 1 and 2: proportion of participants alive and without respiratory failure at day 29|cohorts 1 and 2: time to return to room air by day 29|cohort 2: time to 2-point clinical improvement by day 15|cohorts 1 and 2: time to 1-point clinical improvement by day 29|cohorts 1 and 2: time to 2-point clinical improvement by day 29|cohort 1: respiratory failure-free survival by day 15|cohort 1: respiratory failure-free survival by day 29|cohort 1: proportion of participants who return to room air by day 15|cohorts 1 and 2: proportion of participants who return to room air by day 29|cohort 1: mortality rate at day 15|cohorts 1 and 2: overall survival by day 29|cohorts 1 and 2: clinical status over time|cohorts 1 and 2: number of days alive and out of hospital through day 90,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: treatment"
Different PEEP Settings of COVID-19 Induced ARDS,nan,completed,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04359251,NCT04359251,respiratory system compliance improvement|gas echanges improvement,interventional,allocation: non-randomized|intervention model: crossover assignment|masking: none (open label)|primary purpose: treatment
Psychiatric Consultation for COVID-19 Patients,nan,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04395872,NCT04395872,change of phq-9 (patient health questionnaire-9)|change of gad-7 (patient health questionnaire-9)|change of pc-ptsd-5 (primary care ptsd screen for dsm-5)|change of ais (athens insomnia scale)|change of p4 (p4 suicidality screener)|change of sf-36 (short form health survey questionnaire)|change of scl-90-r,observational,observational model: case-only|time perspective: retrospective
Extremely Premature Births During the Peak of the COVID-19 Pandemic: an International Study of the Active SafeBoosC III Departments,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04527601,NCT04527601,number of elgan admissions during peak three months of covid-19 compared to corresponding months in 2019|regional difference in elgan admissions during peak three months of covid-19 compared to corresponding months in 2019|correlation between the level of lockdown restrictions and number of elgan admissions during peak three months of covid-19 compared to corresponding months in 2019,observational,observational model: cohort|time perspective: retrospective
Protein Electrophoresis as a Tool for Complications Prediction in COVID-19 Hospitalised Patients,COVELEC,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04414059,NCT04414059,complications onset|risk value associated with each risk factor as identified at the end of the main study analysis|predictive performance and risk associated with each individual protein fraction|intra-patient kinetics evolution of the electrophoresis curves|intra-patient kinetics evolution of biological risk factors|inter-expert reproducibility analysis of electrophoretic inflammatory profiles centrally reviewed|contribution of urinary electrophoresis inflammation profiles in the interpretation of serum electrophoresis curves|exploratory biological objective: definition of a more detailed electrophoretic inflammatory profile,observational,observational model: case-only|time perspective: prospective
Interest of the Dosage of Ferritin / Glycosylated Ferritin in COVID-19,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04469153,NCT04469153,assessment of the prognostic value of ferritin in sars-cov2 positiv patients,observational,observational model: cohort|time perspective: retrospective
Clinical Features of Severe Patients With COVID-19,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04450017,NCT04450017,mechanical ventilation duration|non-invasive mechanical ventilation duration|mortality|Сomplete blood count|biochemistry analysis|Сomplete blood count dynamics|biochemistry analysis dynamics|computer tomography|high-sensitive troponin Т|high-sensitive troponin Т dynamics|vitamin d level|vitamin d level dynamics|immunogram|immunogram dynamics,observational,observational model: case-only|time perspective: retrospective
Prevalence of COVID-19 Antibodies Kingman AZ,nan,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04533360,NCT04533360,seroprevelence of sars-cov-2 antibodies among adults in kingman az|retention of sars-cov-2 antibodies among adults in kingman az,observational,observational model: ecologic or community|time perspective: prospective
A Study for Outpatients With COVID-19,nan,recruiting,No Results Available,phase 2|phase 3,NIH|Industry|Other,https://ClinicalTrials.gov/show/NCT04518410,NCT04518410,duration of covid-19 symptoms (phase 2)|post-treatment presence of sars-cov-2 rna at day 3 (phase 2)|post-treatment presence of sars-cov-2 rna at day 7 (phase 2)|post-treatment presence of sars-cov-2 rna at day 14 (phase 2)|post-treatment presence of sars-cov-2 rna at day 21 (phase 2)|post-treatment presence of sars-cov-2 rna at day 28 (phase 2)|incidence of new adverse event (ae) ≥ grade 3 (phase 2)|cumulative incidence of death from any cause or hospitalization (phase 3)|proportion of participants with new adverse event (ae) ≥ grade 3 (phase 3)|cumulative incidence of death from any cause or hospitalization (phase 2)|duration of covid-19 symptoms (phase 3)|presence of sars-cov-2 rna (phases 2 and 3)|level of sars-cov-2 rna (phases 2 and 3)|covid-19 severity ranking (phases 2 and 3)|incidence of ≥1 worsening symptom of covid-19 (phases 2 and 3)|duration of fever (phases 2 and 3)|time to self-report return to usual (pre-covid-19) health (phases 2 and 3)|cumulative incidence of death from any cause or hospitalization (phases 2 and 3)|oxygen saturation level (phase 2)|level of sars-cov-2 rna from site-collected np swabs (phase 2)|level of sars-cov-2 rna from saliva (phase 2)|level of sars-cov-2 rna from self-collected nasal swabs (phase 2)|level of sars-cov-2 rna (phase 2)|post-treatment presence of sars-cov-2 rna in saliva (phase 2)|post-treatment level of sars-cov-2 rna (phase 2)|incidence of new adverse event (ae) ≥ grade 3 (phase 3)|concentration of investigational agent (phase 2 - ly3819253)|level of anti-drug antibodies (phase 2 - ly3819253)|auc (phase 2 - ly3819253)|total body clearance (cl) (phase 2 - ly3819253)|elimination half-life (phase 2 - ly3819253)|cmax (phase 2 - ly3819253)|cmin (phase 2 - ly3819253),interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, care provider, investigator)|primary purpose: treatment"
A Study to Assess the Efficacy and Safety of XC221 in Patients With COVID-19,nan,not yet recruiting,No Results Available,phase 3,Industry,https://ClinicalTrials.gov/show/NCT04487574,NCT04487574,"patient rate with a transition to category 3 or lower according to the who scale by day 14 after the beginning of drug administration.|time till clinical improvement, which is described by presence of all of the following factors during 48 hours in a row.|patient rate with clinical improvement by day 2-28. presence of all of the following factors during 48 hours in a row.|patient rate with a negative test result for sars-cov-2 by day 7±1, 15±1, 21 ±1 and 28 ± 1.|duration of hospitalization.|patient rate transferred to the intensive care unit (icu) during hospitalization.|duration of icu stay.|patient rate with ards during hospitalization.|presence of a fatal outcome.|patient rate requiring oxygen therapy by day 2-28.|patient rate requiring high-flow oxygen therapy by day 2-28.|patient rate requiring non-invasive ventilation by day 2-28.|patient rate requiring invasive ventilation by day 2-28.|patient rate requiring extracorporeal membrane oxygenation (emo) by day 2-28.|the total duration of oxygen therapy by the last day of hospitalization.|the total duration of high-flow oxygen therapy by the last day of hospitalization.|the total duration of non-invasive ventilation by the last day of hospitalization.|the total duration of invasive ventilation of lungs by the last day of hospitalization.|the total duration of emo by the last day of hospitalization.|patient rate with sp02 > 95% by day 2-28.|average alteration of sp02 by day 2-28 from baseline.|average time to reach spo2 ≥ 95%.|patient rate with rr < 22 / min by day 2-28.|average alteration in rr by day 2-28 from baseline.|average time to reach rr ≤ 22 / min.|patient rate with body temperature < 37.5°c by day 2-28.|average alteration in body temperature by day 2-28 from baseline.|average time until the patient reaches a body temperature of ≤37.5°c.|patient rate with ct-1 according to ct data by day 2-28.|average alteration in ct data by 1 point in terms of severity (ct-1, ct-2, ct-3, ct-4) by day 7, 10, 15, 18, 21 and 28 compared to the baseline value.|average time to reach ct-1 according to ct data.|patient rate with a score < 2 according to the daytime and nighttime cough scale by day 2-28.|mean change in daytime and nighttime cough scores by day 2-28 from baseline.|average time to reach < 2 points when assessed according to the daytime and nighttime cough scale.|patient rate with a score < 1 for each symptom (general fatigue, chest congestion, sore throat, decreased sense of smell and taste, nasal congestion) according to a 4-point scale by day 2-28.|average change in score for each symptom (general fatigue, chest congestion, sore throat, decreased sense of smell and taste, nasal congestion) according to a 4-point scale by day 2-28 from baseline.|average time to reach a score of < 1 for each symptom (general fatigue, feeling of congestion in the chest, sore throat, decreased sense of smell and taste, nasal congestion) according to a 4-point scale.|patient rate with a transition decrease to category 3 or lower according to the who scale by day 2-13 and day 15-28.|mean who grade change by day 2-28 from baseline.|average time to reach the 3rd category or below according to the who scale.|patient rate with a news score < 2 by day 2-28.|average change in news score by day 2-28 from baseline.|average time to reach a news score ≤ 2.",interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, investigator)|primary purpose: treatment"
Risk Factors Worsening COVID19 for Out-patient With Home Monitoring,COVIDADOMEVA,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04380662,NCT04380662,identify the factors associated with the worsening of the covid19|describe the clinical care pathway of patients from day 0 to day 14|describe the health status at day 30|describe the quality of life during the disease,observational,observational model: cohort|time perspective: prospective
Efficacy and Safety of Early COVID-19 Convalescent Plasma in Patients Admitted for COVID-19 Infection,nan,completed,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04375098,NCT04375098,"percentage mechanical ventilation, hospitalization longer than 14 days or death during hospitalization|median duration of fever|median duration of mechanical ventilation|median length of icu stay|median length of admission|hospital mortality rate (percentage)|30-day mortality (percentage)|readmission rate (percentage)|median length of viral clearance",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Recovery of Patients From COVID-19 After Critical Illness,COVID-Recovery,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04401254,NCT04401254,physiotherapy intervention|disability-free survival|proportion of patients with covid-19 who received physiotherapy in icu|the reported barriers to delivering physiotherapy interventions|adverse events during physiotherapy interventions|health status|global function|cognitive function|anxiety and depression|screening for post-traumatic distress|work status|phenomenological data of the patient and family experience,observational,observational model: cohort|time perspective: prospective
Study of Standard of Care Plus Intravenous Immunoglobulin (IVIG) Compared to Standard of Care Alone in the Treatment of COVID-19 Infection,nan,recruiting,No Results Available,phase 4,Other|Industry,https://ClinicalTrials.gov/show/NCT04411667,NCT04411667,mechanical ventilation|oxygen therapy|length of stay,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Anti-inflammatory Clarithromycin for Improving COVID-19 Infection Early,ACHIEVE,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04398004,NCT04398004,"clinical outcome negative for two parameters(hospital admission/disease progression)|at least 50% change of the score of respiratory symptoms from the baseline|comparison of two parameters with historical comparators from hellenic sepsis study group database|comparison of the score of respiratory symptoms with historical comparators from hellenic sepsis study group database|clinical outcome negative for two parameters(hospital admission/disease progression) on day 4|at least 50% change of the score of respiratory symptoms from the baseline on day 4|range of development of severe respiratory failure|range of hospital readmission until day 14|change of viral load in respiratory secretions from baseline on day 8|change of function of monocytes at days 1 and 8|change of function of th1 cells at days 1 and 8|change of function of th2 cells at days 1 and 8|change of serum interleukin-6 (il-6) cytokine levels between days 1 and 8|change of serum interleukin-8 (il-8) cytokine levels between days 1 and 8|change of serum human beta defensin-2 (hbd-2) between days 1 and 8|change of cytokine levels interleukin-6 (il-6) at the rhinopharynx between days 1,4 and 8|change of interleukin-1 (il-1) cytokine levels at the rhinopharynx between days 1,4 and 8|change of the il-10/tnfϱ ratio between days 1 and 8",interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: prevention
